Ma KH	CMND      	Ho va Ten                	Ngay lam so  	Tien gui  	Ngay tich luy	Ky han	Lai tich luy	
21D  	901323123 	NgoVanG                  	10/2/2019    	900000000 	1020         	0     	38250001    	
74F  	343433422 	NguyenThiK               	2/2/2021    	78000000  	297          	0     	965250      	
511G 	241241552 	NguyenThanh              	4/7/2020    	90000000  	510          	0     	1912501     	
142C 	329994332 	LeVanNguyen              	2/3/2018    	500000000 	1365         	0     	28437503    	
55GF 	857223423 	NguyenThiLoan            	3/3/2020    	1000000000	633          	0     	26375001    	
573D 	311001323 	PhuLe                    	2/2/2021    	19000000  	297          	0     	235125      	
42D2 	191988314 	LeVanNghia               	1/1/2021    	190000000 	329          	0     	2604584     	
21D  	901323123 	NgoVanG                  	10/2/2019    	900000000 	1020         	0     	38250001    	
74F  	343433422 	NguyenThiK               	2/2/2021    	78000000  	297          	0     	965250      	
511G 	241241552 	NguyenThanh              	4/7/2020    	90000000  	510          	0     	1912501     	
142C 	329994332 	LeVanNguyen              	2/3/2018    	500000000 	1365         	0     	28437503    	
55GF 	857223423 	NguyenThiLoan            	3/3/2020    	1000000000	633          	0     	26375001    	
573D 	311001323 	PhuLe                    	2/2/2021    	19000000  	297          	0     	235125      	
42D2 	191988314 	LeVanNghia               	1/1/2021    	190000000 	329          	0     	2604584     	

10R  	191923566 	BuiThienNhan             	1/2/2021    	90000000  	298          	2     	465000      	
12F  	194313155 	NguyenVanA               	1/3/2020    	80000000  	635          	1     	206666      	
25H  	191923566 	BuiThienNhan             	20/1/2021    	100000000 	310          	4     	0           	
451D 	343432532 	PhanVanToan              	1/2/2020    	50000000  	664          	36    	0           	
R42F 	194323124 	TranThiOanh              	4/4/2021    	800000000 	236          	6     	16000000    	
49J2 	191934161 	TranXuanThanh            	23/3/2019    	80000000  	979          	12    	4400000     	
10R  	191923566 	BuiThienNhan             	1/2/2021    	90000000  	298          	2     	465000      	
12F  	194313155 	NguyenVanA               	1/3/2020    	80000000  	635          	1     	206666      	
25H  	191923566 	BuiThienNhan             	20/1/2021    	100000000 	310          	4     	0           	
451D 	343432532 	PhanVanToan              	1/2/2020    	50000000  	664          	36    	0           	
R42F 	194323124 	TranThiOanh              	4/4/2021    	800000000 	236          	6     	16000000    	
49J2 	191934161 	TranXuanThanh            	23/3/2019    	80000000  	979          	12    	4400000     	

							Tong cong: 26 so tiet kiem 
